Nome,Status
BOSCO SARAIVA,A Proposicao procurada nao existe
LUIZ CARLOS,A Proposicao procurada nao existe
DELEGADO ÉDER MAURO,A Proposicao procurada nao existe
FERNANDO RODOLFO,A Proposicao procurada nao existe
MARRECA FILHO,A Proposicao procurada nao existe
WELLINGTON ROBERTO,A Proposicao procurada nao existe
VANDER LOUBET,A Proposicao procurada nao existe
CLEBER VERDE,Tramitando em Conjunto
FLAVIANO MELO,A Proposicao procurada nao existe
FABIO REIS,A Proposicao procurada nao existe
FÉLIX MENDONÇA JÚNIOR,"Arquivada, Retirado pelo Autor, Arquivada, Aguardando Designação de Relator, Aguardando Apreciação pelo Senado Federal, Aguardando Apreciação pelo Senado Federal"
JHONATAN DE JESUS,A Proposicao procurada nao existe
BETO PEREIRA,A Proposicao procurada nao existe
TADEU ALENCAR,A Proposicao procurada nao existe
CÁSSIO ANDRADE,A Proposicao procurada nao existe
JOÃO DANIEL,A Proposicao procurada nao existe
TONINHO WANDSCHEER,A Proposicao procurada nao existe
ENIO VERRI,A Proposicao procurada nao existe
HÉLIO LEITE,A Proposicao procurada nao existe
MARCELO RAMOS,A Proposicao procurada nao existe
PERPÉTUA ALMEIDA,A Proposicao procurada nao existe
ANDRÉ FIGUEIREDO,"Aguardando Designação de Relator, Arquivada, Ordinária (Art. 151, III, RICD), Tramitando em Conjunto, Arquivada, Tramitando em Conjunto, Retirado pelo Autor"
CELSO SABINO,A Proposicao procurada nao existe
HIRAN GONÇALVES,A Proposicao procurada nao existe
VAIDON OLIVEIRA,A Proposicao procurada nao existe
OLIVAL MARQUES,A Proposicao procurada nao existe
SILAS CÂMARA,A Proposicao procurada nao existe
DAMIÃO FELICIANO,"Urgência (Art. 155, RICD), Aguardando Parecer, Aguardando Designação de Relator, Aguardando Designação de Relator, Arquivada, Arquivada, Tramitando em Conjunto"
JÉSSICA SALES,A Proposicao procurada nao existe
ROBERTO DE LUCENA,"Transformado em Norma Jurídica, Arquivada, Tramitando em Conjunto, Pronta para Pauta, Transformado em Norma Jurídica, Tramitando em Conjunto, Aguardando Designação de Relator, Aguardando Designação de Relator, Prioridade (Art. 151, II, RICD), Aguardando Apreciação pelo Senado Federal, Prioridade (Art. 151, II, RICD), Tramitando em Conjunto, Retirado pelo Autor, Aguardando Designação de Relator, Arquivada, Aguardando Designação de Relator, Retirado pelo Autor, Tramitando em Conjunto, Retirado pelo Autor, Arquivada, Arquivada, Aguardando Designação de Relator, Tramitando em Conjunto, Arquivada, Arquivada, Retirado pelo Autor"
GONZAGA PATRIOTA,"Arquivada, Arquivada, Urgência (Art. 155, RICD), Retirado pelo Autor"
CARLOS VERAS,A Proposicao procurada nao existe
EDIO LOPES,Tramitando em Conjunto
MARIA DO ROSÁRIO,A Proposicao procurada nao existe
CORONEL CHRISÓSTOMO,A Proposicao procurada nao existe
FABIO SCHIOCHET,A Proposicao procurada nao existe
LUIZIANNE LINS,A Proposicao procurada nao existe
NIVALDO ALBUQUERQUE,A Proposicao procurada nao existe
NICOLETTI,A Proposicao procurada nao existe
ALAN RICK,A Proposicao procurada nao existe
RICARDO TEOBALDO,A Proposicao procurada nao existe
GLEISI HOFFMANN,A Proposicao procurada nao existe
OSIRES DAMASO,A Proposicao procurada nao existe
FLAVIO NOGUEIRA,A Proposicao procurada nao existe
EDMILSON RODRIGUES,A Proposicao procurada nao existe
ULDURICO JUNIOR,A Proposicao procurada nao existe
VICENTINHO JÚNIOR,A Proposicao procurada nao existe
DELEGADO PABLO,A Proposicao procurada nao existe
MARX BELTRÃO,A Proposicao procurada nao existe
NILTO TATTO,A Proposicao procurada nao existe
HILDO ROCHA,A Proposicao procurada nao existe
VERMELHO,A Proposicao procurada nao existe
NERI GELLER,A Proposicao procurada nao existe
DANIEL ALMEIDA,A Proposicao procurada nao existe
