Nome,Arquivados,Retirados,Tramitando,Aguardando,Total
BOSCO SARAIVA,0,0,0,0,0
LUIZ CARLOS,0,0,7,0,7
DELEGADO ÉDER MAURO,0,0,0,0,0
FERNANDO RODOLFO,0,0,0,0,0
MARRECA FILHO,0,0,0,0,0
WELLINGTON ROBERTO,0,0,0,0,0
VANDER LOUBET,0,0,2,1,3
CLEBER VERDE,1,0,1,0,2
FLAVIANO MELO,0,0,0,0,0
FABIO REIS,0,0,1,0,1
FÉLIX MENDONÇA JÚNIOR,0,0,4,2,6
JHONATAN DE JESUS,0,0,0,0,0
BETO PEREIRA,0,0,0,0,0
TADEU ALENCAR,0,0,0,0,0
CÁSSIO ANDRADE,0,0,0,0,0
JOÃO DANIEL,0,0,0,0,0
TONINHO WANDSCHEER,0,0,0,0,0
ENIO VERRI,0,0,0,0,0
HÉLIO LEITE,0,0,0,0,0
MARCELO RAMOS,0,0,0,0,0
PERPÉTUA ALMEIDA,0,0,1,0,1
ANDRÉ FIGUEIREDO,0,0,0,3,3
CELSO SABINO,0,0,0,0,0
HIRAN GONÇALVES,0,0,0,0,0
VAIDON OLIVEIRA,0,0,0,0,0
OLIVAL MARQUES,0,0,0,0,0
SILAS CÂMARA,0,0,0,0,0
DAMIÃO FELICIANO,0,0,0,1,1
JÉSSICA SALES,0,0,0,0,0
ROBERTO DE LUCENA,0,0,2,1,3
GONZAGA PATRIOTA,1,0,2,3,6
CARLOS VERAS,0,0,0,0,0
EDIO LOPES,1,0,0,0,1
MARIA DO ROSÁRIO,1,0,1,0,2
CORONEL CHRISÓSTOMO,0,0,0,0,0
FABIO SCHIOCHET,0,0,0,0,0
LUIZIANNE LINS,0,0,0,0,0
NIVALDO ALBUQUERQUE,0,0,0,0,0
NICOLETTI,0,0,0,0,0
ALAN RICK,0,0,0,0,0
RICARDO TEOBALDO,0,0,0,0,0
GLEISI HOFFMANN,0,0,0,0,0
OSIRES DAMASO,0,0,0,0,0
FLAVIO NOGUEIRA,0,0,0,0,0
EDMILSON RODRIGUES,0,0,0,0,0
ULDURICO JUNIOR,0,0,0,0,0
VICENTINHO JÚNIOR,0,0,0,0,0
DELEGADO PABLO,0,0,0,0,0
MARX BELTRÃO,0,0,0,0,0
NILTO TATTO,0,0,0,0,0
HILDO ROCHA,0,0,0,0,0
VERMELHO,0,0,0,0,0
NERI GELLER,0,0,0,0,0
DANIEL ALMEIDA,0,0,0,1,1
ACÁCIO FAVACHO,0,0,0,0,0
AIRTON FALEIRO,0,0,0,0,0
VINICIUS GURGEL,0,0,0,0,0
PR. MARCO FELICIANO,0,0,0,0,0
DULCE MIRANDA,0,0,0,0,0
JÚLIO CESAR,0,0,1,0,1
PEDRO LUCAS FERNANDES,0,0,0,0,0
JOSÉ PRIANTE,0,0,0,0,0
MARGARETE COELHO,0,0,0,0,0
HEITOR FREIRE,0,0,0,0,0
CÉLIO SILVEIRA,0,0,0,0,0
MARCELO NILO,0,0,0,0,0
DOMINGOS NETO,0,0,0,0,0
BETO ROSADO,0,0,0,0,0
LUIZ NISHIMORI,0,0,1,0,1
PAULO TEIXEIRA,0,0,1,2,3
ALINE GURGEL,0,0,0,0,0
ÁTILA LINS,0,1,2,0,3
JOSÉ AIRTON FÉLIX CIRILO,0,0,0,0,0
BETO FARO,0,0,0,0,0
SILVIO COSTA FILHO,0,0,0,0,0
SAMUEL MOREIRA,0,0,0,0,0
CAPITÃO AUGUSTO,0,0,0,0,0
