Nome,Partido,UF,Tipo_de_Despesa,Valor
BOSCO SARAIVA,SOLIDARIEDADE,AM,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  67800
BOSCO SARAIVA,SOLIDARIEDADE,AM,SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.,"R$  52196,28"
BOSCO SARAIVA,SOLIDARIEDADE,AM,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  40753,74"
BOSCO SARAIVA,SOLIDARIEDADE,AM,EMISSÃO BILHETE AÉREO,"R$  39976,81"
BOSCO SARAIVA,SOLIDARIEDADE,AM,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  36247
BOSCO SARAIVA,SOLIDARIEDADE,AM,LOCAÇÃO OU FRETAMENTO DE EMBARCAÇÕES,R$  20400
BOSCO SARAIVA,SOLIDARIEDADE,AM,COMBUSTÍVEIS E LUBRIFICANTES.,"R$  19942,86"
BOSCO SARAIVA,SOLIDARIEDADE,AM,TELEFONIA,"R$  4998,28"
BOSCO SARAIVA,SOLIDARIEDADE,AM,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.","R$  1456,86"
BOSCO SARAIVA,SOLIDARIEDADE,AM,SERVIÇOS POSTAIS,"R$  1070,89"
BOSCO SARAIVA,SOLIDARIEDADE,AM,PASSAGENS AÉREAS,R$  490
BOSCO SARAIVA,SOLIDARIEDADE,AM,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,"R$  342,03"
BOSCO SARAIVA,SOLIDARIEDADE,AM,Total,"R$  285674,75"
PERPÉTUA ALMEIDA,PCdoB,AC,EMISSÃO BILHETE AÉREO,"R$  76669,95"
PERPÉTUA ALMEIDA,PCdoB,AC,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  46441,39"
PERPÉTUA ALMEIDA,PCdoB,AC,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  36727
PERPÉTUA ALMEIDA,PCdoB,AC,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,"R$  29005,14"
