Nome,Partido,UF,Tipo_de_Despesa,Valor
BOSCO SARAIVA,SOLIDARIEDADE,AM,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  67800
LUIZ CARLOS,PSDB,AP,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  81000
DELEGADO ÉDER MAURO,PSD,PA,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  121500
FERNANDO RODOLFO,PL,PE,PASSAGENS AÉREAS,"R$  72908,57"
MARRECA FILHO,PATRIOTA,MA,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.","R$  122683,2"
WELLINGTON ROBERTO,PL,PB,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  197400
VANDER LOUBET,PT,MS,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  140246
CLEBER VERDE,PRB,MA,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  130800
FLAVIANO MELO,MDB,AC,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  83250
FABIO REIS,MDB,SE,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",R$  72000
FÉLIX MENDONÇA JÚNIOR,PDT,BA,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  126500
JHONATAN DE JESUS,PRB,RR,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  77600
BETO PEREIRA,PSDB,MS,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  72990
TADEU ALENCAR,PSB,PE,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  66000
CÁSSIO ANDRADE,PSB,PA,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  102950
JOÃO DANIEL,PT,SE,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  67650
TONINHO WANDSCHEER,PROS,PR,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  86000
ENIO VERRI,PT,PR,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  84540
HÉLIO LEITE,DEM,PA,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  88300
MARCELO RAMOS,PL,AM,PASSAGENS AÉREAS,"R$  79314,39"
PERPÉTUA ALMEIDA,PCdoB,AC,EMISSÃO BILHETE AÉREO,"R$  76669,95"
