Nome,Arquivados,Retirados,Tramitando,Aguardando,Total
BOSCO SARAIVA,0,0,0,0,0
LUIZ CARLOS,0,0,0,0,0
DELEGADO ÉDER MAURO,0,0,3,0,3
FERNANDO RODOLFO,0,0,4,6,10
MARRECA FILHO,0,0,9,2,11
WELLINGTON ROBERTO,0,0,0,0,0
VANDER LOUBET,0,0,0,1,1
CLEBER VERDE,0,0,5,2,7
FLAVIANO MELO,0,0,0,0,0
FABIO REIS,0,0,1,1,2
FÉLIX MENDONÇA JÚNIOR,0,0,0,0,0
JHONATAN DE JESUS,0,0,0,1,1
BETO PEREIRA,0,0,1,1,2
TADEU ALENCAR,0,0,0,1,1
CÁSSIO ANDRADE,0,0,5,6,11
JOÃO DANIEL,0,0,7,2,9
TONINHO WANDSCHEER,0,0,0,2,2
ENIO VERRI,0,0,1,0,1
HÉLIO LEITE,0,0,1,0,1
MARCELO RAMOS,0,0,3,4,7
PERPÉTUA ALMEIDA,0,0,2,0,2
ANDRÉ FIGUEIREDO,0,0,2,4,6
CELSO SABINO,0,0,8,6,14
HIRAN GONÇALVES,0,0,2,5,7
VAIDON OLIVEIRA,0,0,1,0,1
OLIVAL MARQUES,0,0,1,2,3
SILAS CÂMARA,0,0,0,3,3
DAMIÃO FELICIANO,0,0,5,2,7
JÉSSICA SALES,0,0,1,1,2
ROBERTO DE LUCENA,0,0,19,49,68
GONZAGA PATRIOTA,0,0,2,3,5
CARLOS VERAS,0,0,1,0,1
EDIO LOPES,0,0,0,0,0
MARIA DO ROSÁRIO,0,0,8,2,10
CORONEL CHRISÓSTOMO,0,0,3,2,5
FABIO SCHIOCHET,0,0,2,3,5
LUIZIANNE LINS,0,0,3,1,4
NIVALDO ALBUQUERQUE,0,0,6,1,7
NICOLETTI,0,0,3,1,4
ALAN RICK,0,0,1,0,1
RICARDO TEOBALDO,0,0,1,3,4
GLEISI HOFFMANN,0,0,4,0,4
OSIRES DAMASO,0,0,0,1,1
FLAVIO NOGUEIRA,0,0,1,1,2
EDMILSON RODRIGUES,0,0,1,0,1
ULDURICO JUNIOR,0,0,0,1,1
VICENTINHO JÚNIOR,0,0,5,3,8
DELEGADO PABLO,0,0,2,1,3
MARX BELTRÃO,0,0,4,1,5
NILTO TATTO,0,0,1,2,3
HILDO ROCHA,0,0,6,0,6
VERMELHO,0,0,0,1,1
NERI GELLER,0,0,0,0,0
DANIEL ALMEIDA,0,0,0,0,0
ACÁCIO FAVACHO,0,0,1,0,1
AIRTON FALEIRO,0,0,0,1,1
VINICIUS GURGEL,0,0,0,0,0
PR. MARCO FELICIANO,0,1,1,2,4
DULCE MIRANDA,0,0,0,0,0
JÚLIO CESAR,0,0,17,8,25
PEDRO LUCAS FERNANDES,0,0,8,5,13
JOSÉ PRIANTE,0,0,0,0,0
MARGARETE COELHO,0,0,0,2,2
HEITOR FREIRE,0,0,11,11,22
CÉLIO SILVEIRA,0,0,1,4,5
MARCELO NILO,0,0,3,0,3
DOMINGOS NETO,0,0,3,1,4
BETO ROSADO,0,0,0,2,2
LUIZ NISHIMORI,0,0,6,4,10
PAULO TEIXEIRA,0,0,3,1,4
ALINE GURGEL,0,0,1,2,3
ÁTILA LINS,0,0,0,0,0
JOSÉ AIRTON FÉLIX CIRILO,0,0,0,1,1
BETO FARO,0,0,1,0,1
SILVIO COSTA FILHO,0,0,1,0,1
SAMUEL MOREIRA,0,0,1,0,1
CAPITÃO AUGUSTO,0,0,6,6,12
PROFESSOR ALCIDES,0,0,1,0,1
EUCLYDES PETTERSEN,0,0,0,0,0
JULIAN LEMOS,0,0,11,1,12
BILAC PINTO,0,0,0,1,1
IGOR TIMO,0,0,11,6,17
AFONSO MOTTA,0,0,0,0,0
JOSÉ GUIMARÃES,0,0,2,1,3
RUY CARNEIRO,0,0,1,2,3
JERÔNIMO GOERGEN,0,0,1,2,3
ARTHUR OLIVEIRA MAIA,0,0,0,0,0
ROBÉRIO MONTEIRO,0,0,1,2,3
LEONARDO MONTEIRO,0,0,0,1,1
MÁRCIO MARINHO,0,0,2,0,2
NELSON PELLEGRINO,0,0,1,0,1
GIACOBO,0,0,0,0,0
VINICIUS CARVALHO,0,0,2,3,5
VAVÁ MARTINS,0,0,4,0,4
GIL CUTRIM,0,0,2,2,4
PAULO BENGTSON,0,0,5,2,7
DARCI DE MATOS,0,0,2,3,5
PATRUS ANANIAS,0,0,0,0,0
DAGOBERTO NOGUEIRA,0,0,2,1,3
JORGE SOLLA,0,0,0,1,1
ROBERTO ALVES,0,0,4,1,5
REINHOLD STEPHANES JUNIOR,0,0,3,0,3
EVANDRO ROMAN,0,0,1,0,1
SHÉRIDAN,0,0,3,1,4
ELMAR NASCIMENTO,0,0,1,0,1
SEVERINO PESSOA,0,0,4,3,7
RUBENS OTONI,0,0,33,16,49
RAFAEL MOTTA,0,0,12,6,18
FERNANDO MONTEIRO,0,0,2,1,3
FREI ANASTACIO RIBEIRO,0,0,7,8,15
CHRISTIANE DE SOUZA YARED,0,0,0,0,0
MISAEL VARELLA,0,0,0,0,0
LUCAS VERGILIO,0,0,0,0,0
ELI CORRÊA FILHO,0,0,2,1,3
BALEIA ROSSI,0,0,5,2,7
JANDIRA FEGHALI,0,0,1,2,3
JOÃO MAIA,0,0,0,1,1
JOÃO MARCELO SOUZA,0,0,0,0,0
GELSON AZEVEDO,0,0,1,0,1
TEREZA NELMA,0,0,3,2,5
VINICIUS FARAH,0,0,11,5,16
ALCEU MOREIRA,0,0,2,5,7
LEÔNIDAS CRISTINO,0,0,0,0,0
MAURÍCIO DZIEDRICKI,0,0,1,1,2
VANDERLEI MACRIS,0,0,0,1,1
EDUARDO CURY,0,0,0,1,1
RONALDO CARLETTO,0,0,2,1,3
ANTONIO BRITO,0,0,0,0,0
ZÉ SILVA,0,0,0,4,4
MARCON,0,0,2,1,3
JOÃO CAMPOS,0,0,6,3,9
MÁRCIO LABRE,0,0,6,4,10
EXPEDITO NETTO,0,0,8,4,12
WILSON SANTIAGO,0,0,4,8,12
MARÍLIA ARRAES,0,0,5,5,10
SERGIO SOUZA,0,0,2,0,2
JESUS SÉRGIO,0,0,10,4,14
MÁRCIO BIOLCHI,0,0,0,0,0
MARA ROCHA,0,0,8,3,11
HUGO MOTTA,0,0,1,0,1
ANDRÉ ABDON,0,0,0,0,0
ALEX MANENTE,0,0,3,0,3
DARCÍSIO PERONDI,0,0,0,0,0
BOHN GASS,0,0,0,1,1
DANIEL FREITAS,0,0,2,0,2
EROS BIONDINI,0,0,1,0,1
LINCOLN PORTELA,0,0,12,11,23
ALEX SANTANA,0,0,1,0,1
AUGUSTO COUTINHO,0,0,1,4,5
DOMINGOS SÁVIO,0,0,3,1,4
ANDRÉ DE PAULA,0,0,3,1,4
WALTER ALVES,0,0,2,0,2
CARLOS SAMPAIO,0,0,5,1,6
BACELAR,0,0,3,3,6
GEOVANIA DE SÁ,0,0,0,0,0
SILVIA CRISTINA,0,0,1,1,2
CLAUDIO CAJADO,0,0,1,1,2
MÁRIO NEGROMONTE JR.,0,0,0,1,1
ORLANDO SILVA,0,0,0,0,0
GENINHO ZULIANI,0,0,3,7,10
RAUL HENRY,0,0,2,1,3
ROSANGELA GOMES,0,0,1,0,1
NEREU CRISPIM,0,0,10,1,11
MANUEL MARCOS,0,0,2,0,2
CACÁ LEÃO,0,0,0,0,0
VITOR LIPPI,0,0,0,0,0
POMPEO DE MATTOS,0,0,6,4,10
TALÍRIA PETRONE,0,0,2,1,3
MÁRIO HERINGER,0,0,10,5,15
VALMIR ASSUNÇÃO,0,0,8,7,15
CARLOS HENRIQUE GAGUIM,0,0,6,14,20
CRISTIANO VALE,0,0,0,0,0
ZÉ VITOR,0,0,4,8,12
FAUSTO PINATO,0,0,2,0,2
TIAGO DIMAS,0,0,2,2,4
FÁBIO MITIDIERI,0,0,2,1,3
ERIKA KOKAY,0,0,1,5,6
PEDRO UCZAI,0,0,0,0,0
BOCA ABERTA,0,0,27,10,37
JUSCELINO FILHO,0,0,1,1,2
PROFESSORA ROSA NEIDE,0,0,5,2,7
CAMILO CAPIBERIBE,0,0,0,3,3
LEUR LOMANTO JÚNIOR,0,0,1,2,3
MARCELO FREIXO,0,0,4,1,5
GUILHERME DERRITE,0,0,9,4,13
REGINALDO LOPES,0,0,4,1,5
PEDRO WESTPHALEN,0,0,1,2,3
JAQUELINE CASSOL,0,0,3,2,5
ABÍLIO SANTANA,0,0,1,0,1
FÁBIO HENRIQUE,0,0,7,0,7
JOAQUIM PASSARINHO,0,0,0,1,1
DIMAS FABIANO,0,0,1,0,1
MARCOS AURÉLIO SAMPAIO,0,0,2,0,2
JÚLIO DELGADO,0,0,0,1,1
EVAIR VIEIRA DE MELO,0,0,1,0,1
JHC,0,0,0,1,1
PAULO ABI-ACKEL,0,0,0,0,0
JOSÉ NUNES,0,0,0,0,0
PAULO FREIRE COSTA,0,0,1,0,1
JOSÉ ROCHA,0,0,0,0,0
LUCIANO DUCCI,0,0,0,4,4
PAULO GUEDES,0,0,0,0,0
CELSO MALDANER,0,0,0,0,0
NILSON PINTO,0,0,0,0,0
RUBENS BUENO,0,0,17,14,31
DAVID SOARES,0,0,17,9,26
DENIS BEZERRA,0,0,2,4,6
RENATA ABREU,0,0,37,22,59
JOSÉ RICARDO,0,0,4,0,4
MARLON SANTOS,0,0,4,0,4
VALDEVAN NOVENTA,0,0,4,1,5
AFONSO HAMM,0,0,0,0,0
ZECA DIRCEU,0,0,0,0,0
GUSTINHO RIBEIRO,0,0,8,7,15
BENEDITA DA SILVA,0,0,3,0,3
ALICE PORTUGAL,0,0,0,2,2
PAULO PIMENTA,0,0,2,0,2
GIOVANI CHERINI,0,0,6,9,15
ALESSANDRO MOLON,0,0,2,3,5
AROLDO MARTINS,0,0,2,0,2
ALIEL MACHADO,0,0,1,1,2
AFONSO FLORENCE,0,0,1,4,5
ALEXANDRE PADILHA,0,0,4,3,7
DRA. VANDA MILANI,0,0,3,0,3
IDILVAN ALENCAR,0,0,1,1,2
JÚNIOR MANO,0,0,2,3,5
ODAIR CUNHA,1,0,0,0,1
