Nome,Arquivados,Retirados,Tramitando,Aguardando,Total,Partido,Ano
BOSCO SARAIVA,0,0,0,0,0,SOLIDARIEDADE,2007
LUIZ CARLOS,0,0,5,2,7,PSDB,2007
DELEGADO ÉDER MAURO,0,0,0,0,0,PSD,2007
FERNANDO RODOLFO,0,0,0,0,0,PL,2007
MARRECA FILHO,0,0,0,0,0,PATRIOTA,2007
WELLINGTON ROBERTO,0,0,0,0,0,PL,2007
VANDER LOUBET,0,0,1,1,2,PT,2007
CLEBER VERDE,0,0,9,2,11,PRB,2007
FLAVIANO MELO,0,0,0,1,1,MDB,2007
FABIO REIS,0,0,0,0,0,MDB,2007
FÉLIX MENDONÇA JÚNIOR,0,0,0,0,0,PDT,2007
JHONATAN DE JESUS,0,0,0,0,0,PRB,2007
BETO PEREIRA,0,0,0,0,0,PSDB,2007
TADEU ALENCAR,0,0,0,0,0,PSB,2007
CÁSSIO ANDRADE,0,0,0,0,0,PSB,2007
JOÃO DANIEL,0,0,0,0,0,PT,2007
TONINHO WANDSCHEER,0,0,0,0,0,PROS,2007
ENIO VERRI,0,0,0,0,0,PT,2007
HÉLIO LEITE,0,0,0,0,0,DEM,2007
MARCELO RAMOS,0,0,0,0,0,PL,2007
PERPÉTUA ALMEIDA,1,0,1,0,2,PCdoB,2007
ANDRÉ FIGUEIREDO,0,0,0,0,0,PDT,2007
CELSO SABINO,0,0,0,0,0,PSDB,2007
HIRAN GONÇALVES,0,0,0,0,0,PP,2007
VAIDON OLIVEIRA,0,0,0,0,0,PROS,2007
OLIVAL MARQUES,0,0,0,0,0,DEM,2007
SILAS CÂMARA,0,0,1,0,1,PRB,2007
DAMIÃO FELICIANO,0,0,0,0,0,PDT,2007
JÉSSICA SALES,0,0,0,0,0,MDB,2007
ROBERTO DE LUCENA,0,0,0,0,0,PODE,2007
GONZAGA PATRIOTA,0,0,1,3,4,PSB,2007
CARLOS VERAS,0,0,0,0,0,PT,2007
EDIO LOPES,0,0,1,0,1,PL,2007
MARIA DO ROSÁRIO,1,0,0,0,1,PT,2007
CORONEL CHRISÓSTOMO,0,0,0,0,0,PSL,2007
FABIO SCHIOCHET,0,0,0,0,0,PSL,2007
LUIZIANNE LINS,0,0,0,0,0,PT,2007
NIVALDO ALBUQUERQUE,0,0,0,0,0,PTB,2007
NICOLETTI,0,0,0,0,0,PSL,2007
ALAN RICK,0,0,0,0,0,DEM,2007
RICARDO TEOBALDO,0,0,0,0,0,PODE,2007
GLEISI HOFFMANN,0,0,0,0,0,PT,2007
OSIRES DAMASO,0,0,0,0,0,PSC,2007
FLAVIO NOGUEIRA,0,0,0,0,0,PDT,2007
EDMILSON RODRIGUES,0,0,0,0,0,PSOL,2007
ULDURICO JUNIOR,0,0,0,0,0,PROS,2007
VICENTINHO JÚNIOR,0,0,0,0,0,PL,2007
DELEGADO PABLO,0,0,0,0,0,PSL,2007
MARX BELTRÃO,0,0,0,0,0,PSD,2007
NILTO TATTO,0,0,0,0,0,PT,2007
HILDO ROCHA,0,0,0,0,0,MDB,2007
VERMELHO,0,0,0,0,0,PSD,2007
